sequence,pair,display_name,etsy_upload_relative_path,etsy_zip_filename,zip_size_bytes,zip_size_mb_decimal,zip_sha256,qa_manifest_sha256,contact_sheet_sha256,guide_included,wallpaper_count,status
1,AQUARIUS_AQUARIUS,Aquarius + Aquarius,AQUARIUS_AQUARIUS/ASTROLOVE_AQUARIUS_AQUARIUS_5_EDITIONS_ALL_DEVICES.zip,ASTROLOVE_AQUARIUS_AQUARIUS_5_EDITIONS_ALL_DEVICES.zip,17148551,17.149,ced04d00fd75a7f9a2e9b45895672cf48fc2218588c6a0d39ccf809bd3f921d4,ef9d50de3ba0dd1a94067086a2e567d6a17a538f4c7f985b00c33e804096a711,0684a03a58b1ffc72aae27de3d1d906c1707c3f5df804f5dd7d1d7a304d49914,true,20,PASS
2,AQUARIUS_ARIES,Aquarius + Aries,AQUARIUS_ARIES/ASTROLOVE_AQUARIUS_ARIES_5_EDITIONS_ALL_DEVICES.zip,ASTROLOVE_AQUARIUS_ARIES_5_EDITIONS_ALL_DEVICES.zip,18246510,18.247,d6c662b0b949cadf6854d3d8301067ea6f5855d936080a3b9b486f366381c55b,2d1e9dc7f830d3339a0e4f070191ad0db9f5ef0552ae6a3e0d91380b8bd0cee8,7688a2ecb0bed29653b4564aaf39a423529be35351ef3a3dac92085ac32aff55,true,20,PASS
3,AQUARIUS_CANCER,Aquarius + Cancer,AQUARIUS_CANCER/ASTROLOVE_AQUARIUS_CANCER_5_EDITIONS_ALL_DEVICES.zip,ASTROLOVE_AQUARIUS_CANCER_5_EDITIONS_ALL_DEVICES.zip,18779589,18.780,30e0b10845afc789fe2d79b63b3f5601a3440f3b21c5456c0198eef4c478f2b0,0f3e33185a44add18f85b3ccc01b477a2b58018d1cca9cc96aeeb7ca7b55ee19,c651c80e5cf96cf5f9ae39c61049bc526bfb318752a5b71f14b757162ca62398,true,20,PASS
4,AQUARIUS_CAPRICORN,Aquarius + Capricorn,AQUARIUS_CAPRICORN/ASTROLOVE_AQUARIUS_CAPRICORN_5_EDITIONS_ALL_DEVICES.zip,ASTROLOVE_AQUARIUS_CAPRICORN_5_EDITIONS_ALL_DEVICES.zip,18189612,18.190,50c3105f65b043299312712584bb761a76f17650132ff347688ff100cdf0da8c,62daa0a31296c5cd5ff6915277d7e645533257e28c93563112caed016b544a59,627dad7d5352bbe3189f2f788c5713830716fd4ba0524e8daa4807c2ce529c20,true,20,PASS
5,AQUARIUS_GEMINI,Aquarius + Gemini,AQUARIUS_GEMINI/ASTROLOVE_AQUARIUS_GEMINI_5_EDITIONS_ALL_DEVICES.zip,ASTROLOVE_AQUARIUS_GEMINI_5_EDITIONS_ALL_DEVICES.zip,17850318,17.850,4e489a899cc1fe7b79cc79cc027fcbaadd778cfd7251d9cbc0f1a27bd7e26d12,9bb0920c8de6719cf0db181afd6cd4f8f56c8d0f1fb10e206ce50e918021797a,03d2ab372d4d203e0f723ed15261b76e421ccdd8e65f188f7b08d6f7ece93e16,true,20,PASS
6,AQUARIUS_LEO,Aquarius + Leo,AQUARIUS_LEO/ASTROLOVE_AQUARIUS_LEO_5_EDITIONS_ALL_DEVICES.zip,ASTROLOVE_AQUARIUS_LEO_5_EDITIONS_ALL_DEVICES.zip,18306025,18.306,74c87345344382e28703ae9fb81ab1c74268934857f66aeb681889ef9f0773f7,28b0430707ae7921669704063c1e4d4d6ffe10542993c8dc40472091b4d70536,3e79f285502af14b7d3cb5dd5d5ffdcdeefae27e882f5ce584c1bbee4119ae7a,true,20,PASS
7,AQUARIUS_LIBRA,Aquarius + Libra,AQUARIUS_LIBRA/ASTROLOVE_AQUARIUS_LIBRA_5_EDITIONS_ALL_DEVICES.zip,ASTROLOVE_AQUARIUS_LIBRA_5_EDITIONS_ALL_DEVICES.zip,17602223,17.602,3ced42289b4b5f1e380ff523f754152199ccaee5046bd48566696a4e4f785368,0a043e68d9517da093d32558fe3eec6dc83447090ba0912aa827d86785a02bb8,07ab0740ea730e386a78dde822ec78ebc408204ce0c5dbb390b0aee622986f19,true,20,PASS
8,AQUARIUS_PISCES,Aquarius + Pisces,AQUARIUS_PISCES/ASTROLOVE_AQUARIUS_PISCES_5_EDITIONS_ALL_DEVICES.zip,ASTROLOVE_AQUARIUS_PISCES_5_EDITIONS_ALL_DEVICES.zip,18707521,18.708,23ac93f0e47919be6b3fffe34cdfdba49fb959fbf0c90e1a93bc505a3465a280,473522687b570e2da89ea69e7cbda715a3b0d502d49f4042e98d82393391f6b5,ab4af4c2d4d556dbc182ee33fc3616b905b06f4635d7e37b7a09b48e6a91602b,true,20,PASS
9,AQUARIUS_SAGITTARIUS,Aquarius + Sagittarius,AQUARIUS_SAGITTARIUS/ASTROLOVE_AQUARIUS_SAGITTARIUS_5_EDITIONS_ALL_DEVICES.zip,ASTROLOVE_AQUARIUS_SAGITTARIUS_5_EDITIONS_ALL_DEVICES.zip,17855413,17.855,8e2a8194f2efcaec6f9408527dd21e2f82ab04e247ba13e0944c924fc47f6ec5,318d839ca1eba87ae62cd44ad9410742aab7081f83c45004112927823dc03ef1,c596229281d3b035f2fad4e9be20fbc53071941ac819a5fa28888a63910020a1,true,20,PASS
10,AQUARIUS_SCORPIO,Aquarius + Scorpio,AQUARIUS_SCORPIO/ASTROLOVE_AQUARIUS_SCORPIO_5_EDITIONS_ALL_DEVICES.zip,ASTROLOVE_AQUARIUS_SCORPIO_5_EDITIONS_ALL_DEVICES.zip,18146308,18.146,af1e7c51d7a15da596acdf12b6839b6449ed6129632a64b680f9e36d9f7df1bb,090f7664c3c90d22cbe82b8825385f72882be172c4498b870487501de4c0fa70,b2c291a080d3e112cc3b2b8fb25ac9c84eb7a1b4cdd73db296d08ecc3f7c5c60,true,20,PASS
