cift,x0,y0,x1,y1,genislik,yukseklik,skor
AQUARIUS_AQUARIUS,994,264,2006,1614,1012,1350,0.9922
AQUARIUS_ARIES,994,264,2006,1614,1012,1350,0.9933
AQUARIUS_CANCER,994,264,2006,1614,1012,1350,0.9937
AQUARIUS_CAPRICORN,994,264,2006,1614,1012,1350,0.9936
AQUARIUS_GEMINI,994,264,2006,1614,1012,1350,0.9932
AQUARIUS_LEO,994,264,2006,1614,1012,1350,0.9940
AQUARIUS_LIBRA,994,264,2006,1614,1012,1350,0.9938
AQUARIUS_PISCES,994,264,2006,1614,1012,1350,0.9932
AQUARIUS_SAGITTARIUS,994,264,2006,1614,1012,1350,0.9930
AQUARIUS_SCORPIO,994,264,2006,1614,1012,1350,0.9942
AQUARIUS_TAURUS,994,264,2006,1614,1012,1350,0.9929
AQUARIUS_VIRGO,994,264,2006,1614,1012,1350,0.9942
ARIES_ARIES,994,264,2006,1614,1012,1350,0.9951
ARIES_CANCER,994,264,2006,1614,1012,1350,0.9952
ARIES_CAPRICORN,994,264,2006,1614,1012,1350,0.9947
ARIES_GEMINI,994,264,2006,1614,1012,1350,0.9941
ARIES_LEO,994,264,2006,1614,1012,1350,0.9936
ARIES_LIBRA,994,264,2006,1614,1012,1350,0.9942
ARIES_PISCES,994,264,2006,1614,1012,1350,0.9935
ARIES_SAGITTARIUS,994,264,2006,1614,1012,1350,0.9934
ARIES_SCORPIO,994,264,2006,1614,1012,1350,0.9949
ARIES_TAURUS,994,264,2006,1614,1012,1350,0.9946
ARIES_VIRGO,994,264,2006,1614,1012,1350,0.9940
CANCER_CANCER,994,264,2006,1614,1012,1350,0.9946
CANCER_CAPRICORN,994,264,2006,1614,1012,1350,0.9937
CANCER_GEMINI,994,264,2006,1614,1012,1350,0.9935
CANCER_LEO,994,264,2006,1614,1012,1350,0.9951
CANCER_LIBRA,994,264,2006,1614,1012,1350,0.9945
CANCER_PISCES,994,264,2006,1614,1012,1350,0.9945
CANCER_SAGITTARIUS,994,264,2006,1614,1012,1350,0.9948
CANCER_SCORPIO,994,264,2006,1614,1012,1350,0.9948
CANCER_TAURUS,994,264,2006,1614,1012,1350,0.9943
CANCER_VIRGO,994,264,2006,1614,1012,1350,0.9952
CAPRICORN_CAPRICORN,994,264,2006,1614,1012,1350,0.9952
CAPRICORN_GEMINI,994,264,2006,1614,1012,1350,0.9938
CAPRICORN_LEO,994,264,2006,1614,1012,1350,0.9947
CAPRICORN_LIBRA,994,264,2006,1614,1012,1350,0.9946
CAPRICORN_PISCES,994,264,2006,1614,1012,1350,0.9946
CAPRICORN_SAGITTARIUS,994,264,2006,1614,1012,1350,0.9947
CAPRICORN_SCORPIO,994,264,2006,1614,1012,1350,0.9949
CAPRICORN_TAURUS,994,264,2006,1614,1012,1350,0.9948
CAPRICORN_VIRGO,994,264,2006,1614,1012,1350,0.9938
GEMINI_GEMINI,994,264,2006,1614,1012,1350,0.9943
GEMINI_LEO,994,264,2006,1614,1012,1350,0.9946
GEMINI_LIBRA,994,264,2006,1614,1012,1350,0.9942
GEMINI_PISCES,994,264,2006,1614,1012,1350,0.9945
GEMINI_SAGITTARIUS,994,264,2006,1614,1012,1350,0.9941
GEMINI_SCORPIO,994,264,2006,1614,1012,1350,0.9950
GEMINI_TAURUS,994,264,2006,1614,1012,1350,0.9937
GEMINI_VIRGO,994,264,2006,1614,1012,1350,0.9942
LEO_LEO,994,264,2006,1614,1012,1350,0.9942
LEO_LIBRA,994,264,2006,1614,1012,1350,0.9945
LEO_PISCES,994,264,2006,1614,1012,1350,0.9953
LEO_SAGITTARIUS,994,264,2006,1614,1012,1350,0.9945
LEO_SCORPIO,994,264,2006,1614,1012,1350,0.9953
LEO_TAURUS,994,264,2006,1614,1012,1350,0.9949
LEO_VIRGO,994,264,2006,1614,1012,1350,0.9947
LIBRA_LIBRA,994,264,2006,1614,1012,1350,0.9946
LIBRA_PISCES,994,264,2006,1614,1012,1350,0.9951
LIBRA_SAGITTARIUS,994,264,2006,1614,1012,1350,0.9946
LIBRA_SCORPIO,994,264,2006,1614,1012,1350,0.9944
LIBRA_TAURUS,994,264,2006,1614,1012,1350,0.9946
LIBRA_VIRGO,994,264,2006,1614,1012,1350,0.9937
PISCES_PISCES,994,264,2006,1614,1012,1350,0.9945
PISCES_SAGITTARIUS,994,264,2006,1614,1012,1350,0.9940
PISCES_SCORPIO,994,264,2006,1614,1012,1350,0.9942
PISCES_TAURUS,994,264,2006,1614,1012,1350,0.9943
PISCES_VIRGO,994,264,2006,1614,1012,1350,0.9943
SAGITTARIUS_SAGITTARIUS,994,264,2006,1614,1012,1350,0.9938
SAGITTARIUS_SCORPIO,994,264,2006,1614,1012,1350,0.9947
SAGITTARIUS_TAURUS,994,264,2006,1614,1012,1350,0.9937
SAGITTARIUS_VIRGO,994,264,2006,1614,1012,1350,0.9933
SCORPIO_SCORPIO,994,264,2006,1614,1012,1350,0.9941
SCORPIO_TAURUS,994,264,2006,1614,1012,1350,0.9956
SCORPIO_VIRGO,994,264,2006,1614,1012,1350,0.9951
TAURUS_TAURUS,994,264,2006,1614,1012,1350,0.9941
TAURUS_VIRGO,994,264,2006,1614,1012,1350,0.9953
VIRGO_VIRGO,994,264,2006,1614,1012,1350,0.9954
