kare,sn,ana_sembol,kucuk_burc_1,kucuk_burc_2,ham_ana_sembol,ham_kucuk_burc_1,ham_kucuk_burc_2
0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.033,1.0,1.0,0.9879,1.0,1.0,0.9879
2,0.067,1.0,1.0,0.9724,1.0,1.0,0.9724
3,0.1,1.0,1.0,0.9725,1.0,1.0,0.9725
4,0.133,1.0,1.0,0.9725,1.0,1.0,0.9725
5,0.167,1.0,1.0,0.9725,1.0,1.0,0.9725
6,0.2,1.0,1.0,0.9725,1.0,1.0,0.9725
7,0.233,1.0,1.0,0.9725,1.0,1.0,0.9725
8,0.267,1.0,1.0,0.9725,1.0,1.0,0.9725
9,0.3,1.0,1.0,0.9725,1.0,1.0,0.9725
10,0.333,1.0,1.0,0.9725,1.0,1.0,0.9725
11,0.367,1.0,1.0,0.9725,1.0,1.0,0.9725
12,0.4,1.0,1.0,0.9725,1.0,1.0,0.9725
13,0.433,0.9785,0.7901,0.7933,0.9785,0.7901,0.7933
14,0.467,0.9577,0.5731,0.6217,0.9577,0.5731,0.6217
15,0.5,0.9381,0.347,0.4491,0.9381,0.347,0.4491
16,0.533,0.9196,0.1804,0.2709,0.9196,0.1804,0.2709
17,0.567,0.8754,0.0684,0.1283,0.8754,0.0684,0.1283
18,0.6,0.8399,0.0023,0.005,0.8399,0.0023,0.005
19,0.633,0.8395,0.002,0.0,0.8395,0.002,0.0
20,0.667,0.8394,0.0022,0.0,0.8394,0.0022,0.0
21,0.7,0.8394,0.0022,0.0,0.8394,0.0022,0.0
22,0.733,0.8394,0.0,0.0,0.8394,0.0,0.0
23,0.767,0.8393,0.0,0.0,0.8393,0.0,0.0
24,0.8,0.8393,0.0,0.0,0.8393,0.0,0.0
25,0.833,0.8394,0.0,0.0,0.8394,0.0,0.0
26,0.867,0.8395,0.0,0.0,0.8395,0.0,0.0
27,0.9,0.8389,0.0,0.0,0.8389,0.0,0.0
28,0.933,0.8385,0.0065,0.0,0.8385,0.0029,0.0
29,0.967,0.8381,0.0069,0.0,0.8381,0.0031,0.0
30,1.0,0.8377,0.0085,0.0,0.8377,0.0038,0.0
31,1.033,0.8351,0.0,0.0,0.8351,0.0,0.0
32,1.067,0.8329,0.0,0.0,0.8329,0.0,0.0
33,1.1,0.8311,0.0,0.0,0.8311,0.0,0.0
34,1.133,0.8299,0.0,0.0,0.8299,0.0,0.0
35,1.167,0.8271,0.0,0.0,0.8271,0.0,0.0
36,1.2,0.8249,0.0,0.0,0.8249,0.0,0.0
37,1.233,0.8217,0.0,0.0,0.8217,0.0,0.0
38,1.267,0.8205,0.0,0.0,0.8205,0.0,0.0
39,1.3,0.8165,0.0,0.0,0.8165,0.0,0.0
40,1.333,0.8131,0.0,0.0,0.8131,0.0,0.0
41,1.367,0.8106,0.0,0.0,0.8106,0.0,0.0
42,1.4,0.8082,0.0,0.0,0.8082,0.0,0.0
43,1.433,0.8039,0.0,0.0,0.8039,0.0,0.0
44,1.467,0.7998,0.0,0.0,0.7998,0.0,0.0
45,1.5,0.796,0.0,0.0,0.796,0.0,0.0
46,1.533,0.7933,0.0,0.0,0.7933,0.0,0.0
47,1.567,0.7875,0.0,0.0,0.7875,0.0,0.0
48,1.6,0.7825,0.0,0.0,0.7825,0.0,0.0
49,1.633,0.7767,0.004,0.0,0.7767,0.0018,0.0
50,1.667,0.7723,0.0065,0.0,0.7723,0.0029,0.0
51,1.7,0.759,0.0122,0.0,0.759,0.0055,0.0
52,1.733,0.7475,0.0176,0.0,0.7475,0.0079,0.0
53,1.767,0.7285,0.041,0.0,0.7285,0.0184,0.0
54,1.8,0.713,0.0216,0.0,0.713,0.0097,0.0
55,1.833,0.6848,0.0474,0.0,0.6848,0.0213,0.0
