sinif,sku,not
poster,GLOBAL-FAP-8x10,"dogrulandi 6 Eyl (run 34020172810): EMA, Enhanced Matte Art Paper, 200gsm, 20x25cm / 8x10"""
kupa,GLOBAL-MUG-W,dogrulandi 6 Eyl (run 34020172810): 11oz White Ceramic Photo Mug [full image wrap with top-to-bo
kilif,GLOBAL-TECH-IP14-CS-G,dogrulandi 6 Eyl (run 34020172810): iPhone 14 Snap Case in Gloss
poster,GLOBAL-FAP-11x14,"dogrulandi 6 Eyl (run 34020172810): EMA, Enhanced Matte Art Paper, 200gsm, 28x35.5cm / 11x14"""
kilif,GLOBAL-TECH-IP14-CS-M,dogrulandi 6 Eyl (run 34020172810): iPhone 14 Snap Case in Matte
poster,GLOBAL-FAP-12x16,"dogrulandi 6 Eyl (run 34020172810): EMA, Enhanced Matte Art Paper, 200gsm, 30x40cm / 12x16"""
kilif,GLOBAL-TECH-IP14-TCB-CS-G,dogrulandi 6 Eyl (run 34020172810): iPhone 14 Tough Case in Gloss
poster,GLOBAL-FAP-12x18,"dogrulandi 6 Eyl (run 34020172810): EMA, Enhanced Matte Art Paper, 200gsm, 30x45cm / 12x18"""
kilif,GLOBAL-TECH-IP14-TCB-CS-M,dogrulandi 6 Eyl (run 34020172810): iPhone 14 Tough Case in Matte
poster,GLOBAL-FAP-16x20,"dogrulandi 6 Eyl (run 34020172810): EMA, Enhanced Matte Art Paper, 200gsm, 40x50cm / 16x20"""
kilif,GLOBAL-TECH-IP14PL-CS-G,dogrulandi 6 Eyl (run 34020172810): iPhone 14 Plus Snap Case in Gloss
poster,GLOBAL-FAP-16x24,"dogrulandi 6 Eyl (run 34020172810): EMA, Enhanced Matte Art Paper, 200gsm, 40x60cm / 16x24"""
kilif,GLOBAL-TECH-IP14PL-CS-M,dogrulandi 6 Eyl (run 34020172810): iPhone 14 Plus Snap Case in Matte
poster,GLOBAL-FAP-18x24,"dogrulandi 6 Eyl (run 34020172810): EMA, Enhanced Matte Art Paper, 200gsm, 45x60cm / 18x24"""
kilif,GLOBAL-TECH-IP14PL-TCB-CS-G,dogrulandi 6 Eyl (run 34020172810): iPhone 14 Plus Tough Case in Gloss
poster,GLOBAL-FAP-24x36,"dogrulandi 6 Eyl (run 34020172810): EMA, Enhanced Matte Art Paper, 200gsm, 60x90cm / 24x36"""
kilif,GLOBAL-TECH-IP14PL-TCB-CS-M,dogrulandi 6 Eyl (run 34020172810): iPhone 14 Plus Tough Case in Matte
poster,GLOBAL-FAP-A4,"dogrulandi 6 Eyl (run 34020172810): EMA, Enhanced Matte Art Paper, 200gsm, 21x29.7cm / 8.3x11.7"""
kilif,GLOBAL-TECH-IP14PR-CS-G,dogrulandi 6 Eyl (run 34020172810): iPhone 14 Pro Snap Case in Gloss
poster,GLOBAL-FAP-A3,"dogrulandi 6 Eyl (run 34020172810): EMA, Enhanced Matte Art Paper, 200gsm, 29.7x42cm / 11.7x16.5"
kilif,GLOBAL-TECH-IP14PR-CS-M,dogrulandi 6 Eyl (run 34020172810): iPhone 14 Pro Snap Case in Matte
poster,GLOBAL-FAP-A2,"dogrulandi 6 Eyl (run 34020172810): EMA, Enhanced Matte Art Paper, 200gsm, 42x59.4cm / 16.5x23.4"
